[ASSETS]
mario.txt
brick.txt
coin.txt
goomba.txt
cloud.txt
box.txt

# RENDERING ORDER IS IMPORTANT
[OBJECTS]
# type	x	y	
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas, 4 = Coins, 5 = Platform, 6 = Box Platform
# MARIO
0	20	10

#BOX PLATFORM
6	1264	164	16	16	7	2	61000	62000	63000	64000	65000	66000	67000	68000	69000	


# FLOOR 1
#type	x	y	type of brick
1	0	196	3
1	16	196	4
1	32	196	4
1	48	196	4
1	64	196	4
1	80	196	4
1	96	196	4
1	112	196	4
1	128	196	4
1	144	196	4
1	160	196	4
1	176	196	4
1	192	196	4
1	208	196	4
1	224	196	4
1	240	196	4
1	256	196	4
1	272	196	4
1	288	196	4
1	304	196	4
1	320	196	4
1	336	196	4
1	352	196	4
1	368	196	4
1	384	196	4
1	400	196	4
1	416	196	4
1	432	196	4
1	448	196	4
1	464	196	4
1	480	196	4
1	496	196	4
1	512	196	4
1	528	196	4
1	544	196	4
1	560	196	4
1	576	196	4
1	592	196	4
1	608	196	5

# FLOOR 2
1	624	196	0
1	640	196	1
1	656	196	1
1	672	196	1
1	688	196	1
1	704	196	1
1	720	196	1
1	736	196	1
1	752	196	1
1	768	196	1
1	784	196	1
1	800	196	1
1	816	196	1
1	832	196	1
1	848	196	1
1	864	196	1
1	880	196	1
1	896	196	1
1	912	196	1
1	928	196	1
1	944	196	1
1	960	196	1
1	976	196	1
1	992	196	1
1	1008	196	1
1	1024	196	1
1	1040	196	1
1	1056	196	1
1	1072	196	2
1	624	180	3
1	640	180	4
1	656	180	4
1	672	180	4
1	688	180	4
1	704	180	4
1	720	180	4
1	736	180	4
1	752	180	4
1	768	180	4
1	784	180	4
1	800	180	4
1	816	180	4
1	832	180	4
1	848	180	4
1	864	180	4
1	880	180	4
1	896	180	4
1	912	180	4
1	928	180	4
1	944	180	4
1	960	180	4
1	976	180	4
1	992	180	4
1	1008	180	4
1	1024	180	4
1	1040	180	4
1	1056	180	4
1	1072	180	5

# FLOOR 3
1	1152	196	3
1	1168	196	4
1	1184	196	4
1	1200	196	4
1	1216	196	4
1	1232	196	4
1	1248	196	4
1	1264	196	4
1	1280	196	4
1	1296	196	4
1	1312	196	4
1	1328	196	4
1	1344	196	4
1	1360	196	4
1	1376	196	4
1	1392	196	4
1	1408	196	4
1	1424	196	4
1	1440	196	4
1	1456	196	4
1	1472	196	4
1	1488	196	5

# FLOOR 4
1	1536	196	3
1	1552	196	4
1	1568	196	4
1	1584	196	4
1	1600	196	5

# FLOOR 5
1	1664	196	3
1	1680	196	4
1	1696	196	4
1	1712	196	4
1	1728	196	4
1	1744	196	4
1	1760	196	4
1	1776	196	4
1	1792	196	4
1	1808	196	4
1	1824	196	4
1	1840	196	4
1	1856	196	4
1	1872	196	4
1	1888	196	4
1	1904	196	4
1	1920	196	4
1	1936	196	4
1	1952	196	4
1	1968	196	4
1	1984	196	4
1	2000	196	4
1	2016	196	4
1	2032	196	4
1	2048	196	4
1	2064	196	4
1	2080	196	4
1	2096	196	4
1	2112	196	4
1	2128	196	4
1	2144	196	4
1	2160	196	4
1	2176	196	4
1	2192	196	4
1	2208	196	4
1	2224	196	5

# FLOOR 6
1	2256	196	3
1	2272	196	4
1	2288	196	4
1	2304	196	4
1	2320	196	4
1	2336	196	4
1	2352	196	4
1	2368	196	4
1	2384	196	4
1	2400	196	4
1	2416	196	4
1	2432	196	4
1	2448	196	4
1	2464	196	4
1	2480	196	4
1	2496	196	4
1	2512	196	4
1	2528	196	4
1	2544	196	4
1	2560	196	4
1	2576	196	4
1	2592	196	4
1	2608	196	4
1	2624	196	4
1	2640	196	4
1	2656	196	4
1	2672	196	4
1	2688	196	4
1	2704	196	4
1	2720	196	4
1	2736	196	4
1	2752	196	4
1	2768	196	4
1	2784	196	4
1	2800	196	5

#PROP BLOCK
1	1504	116	10
1	1520	116	10
1	1568	180	10
1	1584	180	10
1	1584	164	10
1	1600	180	10
1	1600	164	10
1	1600	148	10
1	1664	180	10
1	1664	164	10
1	1664	148	10
1	1680	180	10
1	1680	164	10
1	1696	180	10

# COIN
4	100	120
4	120	120
4	140	120
4	160	120
4	180	120

# GOOMBA
2	300	10

# PLATFORM
5	90	136	16	16	16	51000	52000	53000
5	120	90	16	16	8	20001	20001	20001

# PORTAL 
50	300	110	316	140	2
